movie_id,rotten_tomatoes_link
862,m/toy_story
8844,m/1068044-jumanji
31357,m/waiting_to_exhale
949,m/1009399-heat
949,m/1068182-heat
9091,m/1068470-sudden_death
710,m/goldeneye
9087,m/american_president
10858,m/nixon
1408,m/cutthroat_island
524,m/1067987-casino
5,m/four_rooms
11517,m/money_train
8012,m/get_shorty
9691,m/assassins
451,m/leaving_las_vegas
9263,m/now_and_then
9598,m/1065598-babe
687,m/1068779-dead_man_walking
9312,m/mortal_kombat
577,m/1066712-to_die_for
11861,m/how_to_make_an_american_quilt
10530,m/1063452-pocahontas
629,m/usual_suspects
10634,m/friday
755,m/from_dusk_till_dawn
11859,m/1065868-fair_game
11859,m/fair-game-2010
36929,m/big_bully
9102,m/1069696-screamers
400,m/things_to_do_in_denver_when_youre_dead
10534,m/white_squall
2086,m/nick_of_time
9095,m/mary_reilly
12158,m/vampire_in_brooklyn
9208,m/1003119-broken_arrow
9208,m/1069241-broken_arrow
13685,m/bottle_rocket
9614,m/happy_gilmore
688,m/bridges_of_madison_county
197,m/1065684-braveheart
103,m/taxi_driver
33542,m/rumble_in_the_bronx
11066,m/1039796-boomerang
2074,m/flirting_with_disaster
11863,m/jade
11000,m/birdcage
9737,m/1062483-bad_boys
9737,m/bad_boys_1982
22279,m/awfully_big_adventure
568,m/apollo_13
414,m/batman_forever
5894,m/blue_in_the_face
1775,m/canadian_bacon
8839,m/casper
20649,m/clockers
10329,m/congo
8963,m/crimson_tide
8512,m/devil_in_a_blue_dress
1572,m/die_hard_with_a_vengeance
6520,m/first_knight
10428,m/hackers
9886,m/johnny_mnemonic
9482,m/judge_dredd
9071,m/living_in_oblivion
2293,m/mallrats
1642,m/net
11980,m/1065632-prophecy
10533,m/1066120-scarlet_letter
10802,m/showgirls
10149,m/1062983-smoke
9348,m/species
3512,m/under_siege_2_dark_territory
9560,m/walk_in_the_clouds
9804,m/waterworld
50797,m/burnt_by_the_sun
76,m/before_sunrise
11017,m/billy_madison
9382,m/boys_on_the_side
2292,m/clerks
1909,m/don-juan-demarco
8984,m/disclosure
8467,m/dumb_and_dumber
522,m/ed_wood
27303,m/1060518-hideaway
14275,m/hoop_dreams
1024,m/heavenly_creatures
17207,m/houseguest
628,m/interview_with_the_vampire
87729,m/jefferson_in_paris
6280,m/1058426-junior
4476,m/legends_of_the_fall
28313,m/losing_isaiah
3036,m/mary_shelleys_frankenstein
17402,m/miami_rhapsody
1945,m/nell
241,m/natural_born_killers
6950,m/outbreak
63020,m/perez_family
680,m/pulp_fiction
12106,m/1059629-quick_and_the_dead
161495,m/roommates
22586,m/swan_princess
2636,m/1056079-specialist
2164,m/stargate
278,m/shawshank_redemption
9067,m/tank_girl
25066,m/tales_from_the_hood
1587,m/whats_eating_gilbert_grape
9271,m/virtuosity
2064,m/while_you_were_sleeping
236,m/muriels_wedding
3049,m/ace_ventura_pet_detective
10497,m/bitter-moon
9331,m/clear_and_present_danger
10731,m/client
9495,m/crow
888,m/the_flintstones
13,m/forrest_gump
712,m/four_weddings_and_a_funeral
10879,m/i_love_trouble
